"ID","Player","Team","Position","Rk","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros%","+/-"
"*02zsg*","DeAndre Hopkins","ARI","WR","82","NE","29","@JAX Sun 1:00PM","55","AUCT","13.15","12","100%","0%"
"*05jec*","Quez Watkins","PHI","WR","83","FA","23","@DAL Mon 8:15PM","1","WAVR","13.1","14","24%","+4.5%"
"*05rra*","Demetric Felton","CLE","RB","84","FA","23","CHI Sun 1:00PM","1","WAVR","13.02","13","31%","+22.5%"
"*02zwo*","Dustin Hopkins","WAS","K","85","FA","30","@BUF Sun 1:00PM","1","WAVR","13","9","23%","+3%"
"*001od*","Nick Folk","NE","K","86","NE","36","NO Sun 1:00PM","1","WAVR","13","14","18%","+7.5%"
"*05gu3*","CeeDee Lamb","DAL","WR","87","MARS","22","PHI Mon 8:15PM","18","1YR","12.9","7","100%","0%"
"*02ztv*","Keenan Allen","LAC","WR","88","VA","29","@KC Sun 1:00PM","48","AUCT","12.8","7","100%","0%"
"*04cz8*","Robert Tonyan","GB","TE","89","VA","27","@SF Sun 8:20PM","2","WAVR","12.7","13","96%","+0.9%"
"*05rlg*","Mac Jones","NE","QB","90","NE","23","NO Sun 1:00PM","1","ROOK","12.7","14","66%","-2.4%"
"*048vn*","JuJu Smith-Schuster","PIT","WR","91","YON","24","CIN Sun 1:00PM","7","AUCT","12.65","7","98%","+0.1%"
"*04zfx*","Darius Slayton","NYG","WR","92","FA","24","ATL Sun 1:00PM","1","WAVR","12.65","10","49%","+12.4%"
"*05rlf*","Ja'Marr Chase","CIN","WR","93","NE","21","@PIT Sun 1:00PM","16","ROOK","12.4","10","99%","0%"
"*04yo1*","Deebo Samuel","SF","WR","94","MARS","25","GB Sun 8:20PM","15","2YR","12.35","6","99%","0%"
"*05gui*","Tee Higgins","CIN","WR","95","VA","22","@PIT Sun 1:00PM","11","1YR","12.25","10","99%","-0.1%"
"*03oil*","Maxx Williams","ARI","TE","96","FA","27","@JAX Sun 1:00PM","1","WAVR","12.15","12","24%","+21.2%"
"*0307a*","Brandon McManus","DEN","K","97","FA","30","NYJ Sun 4:05PM","1","WAVR","12","11","71%","+3.7%"
"*04mu2*","Brandon Zylstra","CAR","WR","98","FA","28","CAR 24<br/>@HOU 9 F","1","WAVR","11.9","13","2%","+1.9%"
"*040h4*","Demarcus Robinson","KC","WR","99","FA","27","LAC Sun 1:00PM","1","WAVR","11.85","12","19%","+1%"
"*04msb*","Braxton Berrios","NYJ","WR","100","FA","25","@DEN Sun 4:05PM","1","WAVR","11.75","6","15%","+10.6%"
"*040eo*","Sterling Shepard","NYG","WR","101","HAR","28","ATL Sun 1:00PM","2","WAVR","11.75","10","92%","+5%"
"*026tl*","Andy Dalton","CHI","QB","102","FA","33","@CLE Sun 1:00PM","1","WAVR","11.7","10","23%","-0.9%"
"*026s3*","A.J. Green","ARI","WR","103","FA","33","@JAX Sun 1:00PM","1","WAVR","11.65","12","58%","+2.6%"
"*04co7*","Zach Pascal","IND","WR","104","FA","26","@TEN Sun 1:00PM","1","WAVR","11.55","14","57%","+2.3%"
"*030cp*","Adam Thielen","MIN","WR","105","FLU","31","SEA Sun 4:25PM","21","AUCT","11.15","7","100%","0%"
"*05jo4*","Rodrigo Blankenship","IND","K","106","GK","24","@TEN Sun 1:00PM","1","AUCT","11","14","81%","-1.2%"
"*001rd*","Matt Prater","ARI","K","107","FA","37","@JAX Sun 1:00PM","1","WAVR","11","12","66%","+6.5%"
"*04com*","Tim Patrick","DEN","WR","108","VA","27","NYJ Sun 4:05PM","7","WAVR","10.95","11","59%","+2.8%"
"*05roe*","Michael Carter","NYJ","RB","109","FLU","22","@DEN Sun 4:05PM","2","ROOK","10.8","6","91%","+1.9%"
"*02zwu*","Latavius Murray","BAL","RB","110","NE","31","@DET Sun 1:00PM","11","WAVR","10.6","8","88%","+0.1%"
"*04ynn*","Noah Fant","DEN","TE","111","CR","23","NYJ Sun 4:05PM","12","AUCT","10.55","11","98%","+0.2%"
"*030ij*","Jack Doyle","IND","TE","112","FA","31","@TEN Sun 1:00PM","1","WAVR","10.4","14","24%","+13.1%"
"*04zvk*","Foster Moreau","LV","TE","113","FA","24","MIA Sun 4:05PM","1","WAVR","10.4","8","6%","+1.5%"
"*040f2*","Tyler Boyd","CIN","WR","114","CR","26","@PIT Sun 1:00PM","5","AUCT","10.3","10","96%","+0.1%"
"*040g5*","Jacoby Brissett","MIA","QB","115","FA","28","@LV Sun 4:05PM","1","WAVR","10.15","14","15%","+8.4%"
"*03oh2*","Jameis Winston","NO","QB","116","OAK","27","@NE Sun 1:00PM","4","AUCT","10","6","73%","-10.7%"
"*20151#1090*","Las Vegas","null","DST","117","NE","","MIA Sun 4:05PM","4","WAVR","9.81","8","31%","+25.8%"
"*05gu2*","D'Andre Swift","DET","RB","118","VA","22","BAL Sun 1:00PM","24","1YR","9.8","9","100%","-0.1%"
"*05ji3*","Ty'Son Williams","BAL","RB","119","NE","25","@DET Sun 1:00PM","1","AUCT","9.8","8","83%","+1.2%"
"*04ypi*","David Montgomery","CHI","RB","120","HAR","24","@CLE Sun 1:00PM","33","1YR","9.65","10","100%","0%"
"*04ovc*","Greg Joseph","MIN","K","121","FA","27","SEA Sun 4:25PM","1","WAVR","9.5","7","13%","+0.8%"
"*03cej*","Allen Robinson","CHI","WR","122","OAK","28","@CLE Sun 1:00PM","36","1YR","9.4","10","100%","-0.1%"
"*05rm3*","Kyle Pitts","ATL","TE","123","LIC","20","@NYG Sun 1:00PM","18","ROOK","9.3","6","99%","-0.1%"
"*05jd5*","Darnell Mooney","CHI","WR","124","MARS","23","@CLE Sun 1:00PM","14","1YR","9.3","10","86%","+0.3%"
"*02zsr*","Robert Woods","LAR","WR","125","CR","29","TB Sun 4:25PM","28","AUCT","9.25","11","100%","0%"
"*04ohj*","Chase Edmonds","ARI","RB","126","MARS","25","@JAX Sun 1:00PM","18","1YR","9.25","12","99%","0%"
"*04zfp*","Hunter Renfrow","LV","WR","127","FA","25","MIA Sun 4:05PM","1","WAVR","9.25","8","54%","+4.5%"
"*04mry*","Phillip Lindsay","HOU","RB","128","FA","27","CAR 24<br/>@HOU 9 F","1","WAVR","9.15","10","70%","-1.4%"
"*02jcj*","Greg Zuerlein","DAL","K","129","OAK","33","PHI Mon 8:15PM","1","WAVR","9","7","80%","+1.1%"
"*04zvr*","Matt Gay","LAR","K","130","MARS","27","TB Sun 4:25PM","1","WAVR","9","11","73%","-0.1%"
"*04yqx*","Tristan Vizcaino","LAC","K","131","FA","25","@KC Sun 1:00PM","1","WAVR","9","7","9%","+0.2%"
"*05rmz*","Javonte Williams","DEN","RB","132","FLU","21","NYJ Sun 4:05PM","14","ROOK","8.9","11","98%","-0.2%"
"*20070#1090*","Cleveland","null","DST","133","VA","","CHI Sun 1:00PM","2","WAVR","8.9","13","67%","-3.1%"
"*05j8y*","Antonio Gibson","WAS","RB","134","GK","23","@BUF Sun 1:00PM","11","1YR","8.8","9","100%","-0.1%"
"*03omz*","Darren Waller","LV","TE","135","YON","29","MIA Sun 4:05PM","30","1YR","8.5","8","100%","0%"
"*04cfd*","Jamal Agnew","JAX","WR","136","FA","26","ARI Sun 1:00PM","1","WAVR","8.5","7","1%","+0.2%"
"*04zdu*","Mecole Hardman","KC","WR","137","VA","23","LAC Sun 1:00PM","4","AUCT","8.46","12","86%","-0.9%"
"*04zeg*","Dawson Knox","BUF","TE","138","FA","24","WAS Sun 1:00PM","1","WAVR","8.45","7","31%","+4%"
"*05jee*","Jauan Jennings","SF","WR","139","FA","24","GB Sun 8:20PM","1","WAVR","8.45","6","3%","+1.2%"
"*04cn9*","Ricky Seals-Jones","WAS","TE","140","FA","26","@BUF Sun 1:00PM","1","WAVR","8.4","9","2%","+1.1%"
"*03zaf*","Leonard Fournette","TB","RB","141","LIC","26","@LAR Sun 4:25PM","6","WAVR","8.35","9","97%","+0.4%"
"*20295#1090*","LA Rams","null","DST","142","FLU","","TB Sun 4:25PM","4","AUCT","8.34","11","98%","-1%"
"*03oko*","Mike Davis","ATL","RB","143","CR","28","@NYG Sun 1:00PM","27","AUCT","8.3","6","99%","-0.3%"
"*20040#1090*","NY Jets","null","DST","144","FA","","@DEN Sun 4:05PM","1","WAVR","8.25","6","11%","-1.2%"
"*03ohe*","Melvin Gordon","DEN","RB","145","FLU","28","NYJ Sun 4:05PM","14","AUCT","8.15","11","99%","-0.4%"
"*20230#1090*","Green Bay","null","DST","146","FA","","@SF Sun 8:20PM","1","WAVR","8.09","13","36%","-13.9%"
"*04mou*","Christian Kirk","ARI","WR","147","HAR","24","@JAX Sun 1:00PM","5","WAVR","8","12","85%","-0.8%"
"*03cx0*","Cairo Santos","CHI","K","148","FA","29","@CLE Sun 1:00PM","1","WAVR","8","10","14%","-0.4%"
"*05gug*","Chase Claypool","PIT","WR","149","HAR","23","CIN Sun 1:00PM","10","1YR","7.95","7","99%","-0.3%"
"*05rlt*","Trevor Lawrence","JAX","QB","150","MARS","21","ARI Sun 1:00PM","12","ROOK","7.85","7","90%","-4.5%"
"*04cc5*","Joe Mixon","CIN","RB","151","YON","25","@PIT Sun 1:00PM","62","AUCT","7.85","10","100%","0%"
"*04mnp*","Saquon Barkley","NYG","RB","152","YON","24","ATL Sun 1:00PM","42","1YR","7.65","10","100%","+0.1%"
"*05jlt*","James Robinson","JAX","RB","153","GK","23","ARI Sun 1:00PM","16","1YR","7.65","7","99%","-0.3%"
